word,specfiles,rpms,as prefix,as suffix,meaning
expressive,10,10,0,1,
nose,10,23,0,6,
utf8,10,13,0,6,
wingpanel,10,12,11,0,
aries,10,20,20,0,
buffer,10,10,0,5,
takari,10,17,16,1,
stock,10,10,0,2,
ext,10,16,0,11,
zlib,10,22,4,6,
1.1,10,20,0,0,
oflb,10,10,10,0,
Archive,10,38,0,1,
Carp,10,10,0,3,
Geo,10,10,0,0,
backports,9,12,0,4,
helper,9,15,0,9,
notification,9,11,2,7,
han,9,9,0,0,
ansible,9,13,6,3,
install,9,13,0,8,
ga,9,16,7,9,
lt,9,11,0,11,
tr,9,11,0,11,
gcc,9,94,73,5,project name
syntax,9,12,0,6,
apidocs,9,9,0,9,
cups,9,19,13,4,
context,9,84,0,10,
amqp,9,20,1,7,
nginx,9,18,9,8,
virt,9,11,8,3,
keys,9,10,0,9,
zsh,9,10,3,3,
apt,9,13,4,6,
default,9,17,0,4,
addons,9,13,0,11,extends/enhances
bindings,9,15,0,5,
gi,9,19,0,2,
lzma,9,16,8,2,
archive,9,15,0,10,
ar,9,10,0,10,
ast,9,11,2,6,
gd,9,11,2,8,
coreos,9,16,0,0,
gopkg,9,17,0,0,
metacity,9,10,1,0,
netcdf,9,36,31,4,
example,9,9,0,5,
reflection,9,11,0,6,
opengl,9,19,1,10,
udev,9,9,1,7,
link,9,19,7,6,
matrix,9,13,1,5,
mediawiki,9,9,6,1,
mozilla,9,11,11,0,
OpenSSL,9,9,0,0,
Iterator,9,9,0,6,
Mock,9,10,0,4,
Params,9,9,0,1,
Plack,9,10,0,1,
Set,9,9,0,1,
bundle,9,24,0,21,file-type
access,9,11,3,6,
diff,9,12,0,6,
ipa,9,12,6,2,
requests,9,17,0,3,
tree,9,17,0,8,
factory,9,16,2,7,
clutter,9,20,11,1,
provider,9,25,0,18,extends/enhances
xdg,9,11,7,0,
ejb,9,16,0,4,
wildfly,9,33,29,0,
metrics,9,35,23,2,
angular,9,12,0,2,
transaction,9,15,0,4,
spec,9,15,2,7,
Stream,9,10,0,5,
xio,9,21,0,1,
thunar,9,10,7,3,
shim,9,12,5,6,
xcb,9,16,15,1,
libyui,9,27,26,0,
component,9,13,0,4,
type,9,9,0,3,
require,9,9,0,1,
AnyEvent,9,9,0,1,
Array,9,9,0,3,
Type,9,9,0,6,
Event,9,13,0,4,
Inline,9,9,0,2,
MouseX,9,9,0,0,
di,9,9,0,6,
rspec,9,18,0,1,
supybot,9,9,8,0,
389,8,15,14,0,
addon,8,31,0,8,extends/enhances
cursor,8,9,0,2,
new,8,12,0,2,
arc,8,37,3,4,
keyring,8,13,0,8,
