word,specfiles,rpms,as prefix,as suffix,meaning
dtdparser,1,2,1,0,
dtksettings,1,2,1,0,
dtrx,1,1,0,0,
dtv,1,2,2,0,
dualscreen,1,1,1,0,
duckduckgo,1,1,0,0,
duel3,1,1,0,0,
duff,1,1,0,0,
dumbster,1,2,1,0,
dumpasn1,1,1,0,0,
dumpet,1,1,0,0,
dunst,1,1,0,0,
domestic,1,1,0,0,
manners,1,1,0,0,
dustismo,1,3,0,0,
dustmite,1,1,0,0,
dvblast,1,1,0,0,
dvblinkremote,1,3,2,0,
dvd+rw,1,1,1,0,
dvdauthor,1,1,0,0,
dvdbackup,1,1,0,0,
dvdisaster,1,1,0,0,
dvgrab,1,1,0,0,
dvtm,1,1,0,0,
dwarves,1,1,0,0,
dwdiff,1,1,0,0,
dwlocstat,1,1,0,0,
dwm,1,2,1,0,
dwscan,1,1,0,0,
dwz,1,1,0,0,
dxcc,1,2,1,0,
dxf2gcode,1,1,0,0,
dxpc,1,1,0,0,
dynafed,1,6,5,0,
dynalink,1,2,1,0,
edt,1,2,0,0,
dzen2,1,1,0,0,
e00compr,1,2,1,0,
epplets,1,2,0,1,
keyedit,1,1,0,1,
e2fsprogs,1,4,3,0,
e2tools,1,1,0,0,
e3,1,1,0,0,
earcandy,1,1,0,0,
easybashgui,1,1,0,0,
easystroke,1,1,0,0,
easytag,1,2,1,0,
eb,1,2,1,0,
ebay,1,2,2,0,
ebhttpd,1,1,0,0,
eblook,1,1,0,0,
ebnetd,1,2,1,0,
ebtables,1,1,0,0,
ebtree,1,2,1,0,
ebumeter,1,1,0,0,
ebview,1,1,0,0,
25519,1,2,0,0,
ecdsautils,1,1,0,0,
echolib,1,3,2,0,
echolinux,1,1,0,0,
echoping,1,6,5,0,
ecj,1,1,0,0,
eclib,1,2,1,0,
anyedit,1,1,0,1,
e4,1,1,0,0,
ecf,1,3,0,0,
eclemma,1,1,0,1,
epp,1,1,0,0,
fedorapackager,1,1,0,1,
gef,1,4,0,1,
buildhelper,1,1,0,1,
mavenarchiver,1,1,0,1,
mavendev,1,1,0,1,
sourcelookup,1,1,0,1,
wtp,1,1,0,1,
uml2,1,1,0,1,
moreunit,1,1,0,1,
en_CA,1,1,0,1,
pdt,1,3,0,1,
photran,1,3,0,1,
xlf,1,1,0,1,
ptp,1,13,0,1,
etfw,1,2,0,0,
tau,1,2,0,1,
pldt,1,2,0,0,
upc,1,1,0,1,
rdt,1,1,0,0,
rm,1,1,0,0,
sci,1,1,0,1,
sdm,1,1,0,1,
quickrex,1,1,0,1,
swtbot,1,1,0,1,
connectors,1,1,0,1,
xpand,1,1,0,1,
ecolier,1,3,3,0,
court,1,3,0,0,
lignes,1,1,0,0,
ed2k_hash,1,2,1,0,
edac,1,2,2,0,
mkgridmap,1,1,0,1,
editarea,1,1,0,0,
edk2,1,7,7,0,
ovmf,1,2,0,1,
eegdev,1,3,2,0,
eegview,1,1,0,0,
efax,1,1,0,0,
efibootmgr,1,1,0,0,
efont,1,1,1,0,
egd,1,1,0,0,
eggdrop,1,1,0,0,
eglexternalplatform,1,1,1,0,
sizeof,1,2,0,0,
ehcache2,1,3,2,0,
eiciel,1,1,0,0,
eigen2,1,2,2,0,
eiskaltdcpp,1,4,3,0,
ekiga,1,1,0,0,
ekmukta,1,1,1,0,
elasticdump,1,1,0,0,
electric,1,2,1,0,
electronics,1,1,1,0,
elemental,1,10,8,0,
elfelli,1,1,0,0,
elfio,1,1,1,0,
elinks,1,1,0,0,
elk,1,5,4,0,
elmon,1,1,0,0,
elog,1,3,2,0,
elpa,1,6,6,0,
elph,1,1,0,0,
apel,1,1,0,1,
auctex,1,2,0,1,
bbdb,1,1,0,1,
ddskk,1,3,0,3,
ess,1,3,0,2,
proofgeneral,1,3,0,2,
riece,1,3,0,3,
tuareg,1,3,0,3,
epix,1,6,4,1,
evil,1,1,0,1,
goodies,1,2,0,1,
goto,1,1,0,0,
chg,1,1,0,1,
htmlize,1,2,0,1,
ledger,1,5,2,1,
lucid,1,1,0,1,
magit,1,1,0,1,
mew,1,1,0,1,
nesc,1,3,0,1,
notmuch,1,8,3,4,
pymacs,1,2,0,1,
rinari,1,2,0,1,
undo,1,1,0,0,
vregs,1,1,0,0,
emacspeak,1,1,0,0,
email2trac,1,1,0,0,
emelfm2,1,1,0,0,
emma,1,2,1,0,
empathy,1,1,0,0,
enblend,1,2,1,0,
enca,1,2,1,0,
encuentro,1,1,0,0,
endless,1,2,2,0,
enemies,1,1,1,0,
carlotta,1,1,0,1,
enet,1,2,1,0,
engrid,1,3,2,0,
enjarify,1,2,0,1,
enki,1,2,1,0,
enscript,1,1,0,0,
entypo,1,1,1,0,
enunciate,1,2,1,0,
envytools,1,2,1,0,
hwdocs,1,1,0,1,
folder,1,1,0,1,
fullscreenbg,1,1,0,1,
hide,1,1,0,0,
titlebar,1,1,0,1,
maximize,1,1,0,0,
postasa,1,1,0,1,
pythonconsole,1,1,0,1,
slideshowshuffle,1,1,0,1,
eom,1,2,1,0,
eosrei,1,1,1,0,
eot,1,1,1,0,
epstool,1,1,0,0,
epydoc,1,3,2,0,
epylog,1,2,1,0,
eqp,1,1,0,0,
equalx,1,1,0,0,
erfa,1,2,1,0,
eric,1,1,0,0,
eris,1,2,1,0,
basho_metrics,1,1,0,1,
basho_stats,1,1,0,1,
bitcask,1,1,0,1,
chronos,1,1,0,1,
clique,1,1,0,1,
cluster_info,1,1,0,1,
cuttlefish,1,1,0,1,
ebloom,1,1,0,1,
edown,1,1,0,1,
eflame,1,1,0,1,
egeoip,1,1,0,1,
eleveldb,1,1,0,1,
emmap,1,1,0,1,
eper,1,1,0,1,
epgsql,1,1,0,1,
erlando,1,1,0,1,
erlsom,1,1,0,1,
erlsyslog,1,1,0,1,
erlydtl,1,1,0,1,
esasl,1,1,0,1,
esdl,1,1,0,1,
etap,1,1,0,1,
folsom,1,1,0,1,
gen_leader,1,1,0,1,
goldrush,1,1,0,1,
gtknode,1,1,0,1,
ibrowse,1,1,0,1,
jsx,1,1,0,1,
kvc,1,1,0,1,
lfe,1,1,0,1,
log4erl,1,1,0,1,
lucene_parser,1,1,0,1,
luerl,1,1,0,1,
luke,1,1,0,1,
meck,1,1,0,1,
merge_index,1,1,0,1,
misultin,1,1,0,1,
mochiweb,1,1,0,1,
neotoma,1,1,0,1,
p1_mysql,1,1,0,1,
p1_pam,1,1,0,1,
p1_pgsql,1,1,0,1,
poolboy,1,1,0,1,
proper,1,1,0,1,
protobuffs,1,1,0,1,
ranch,1,1,0,1,
rebar,1,1,0,1,
riak_api,1,1,0,1,
riak_client,1,1,0,1,
riak_control,1,1,0,1,
riak_core,1,1,0,1,
riak_dt,1,1,0,1,
riak_ensemble,1,1,0,1,
riak_err,1,1,0,1,
riak_kv,1,1,0,1,
riak_pb,1,1,0,1,
riak_pipe,1,1,0,1,
riak_search,1,1,0,1,
riak_sysmon,1,1,0,1,
riaknostic,1,1,0,1,
sd_notify,1,1,0,1,
sidejob,1,1,0,1,
skerl,1,1,0,1,
stdlib2,1,1,0,1,
triq,1,1,0,1,
webmachine,1,1,0,1,
erlpmd,1,1,0,0,
esc,1,1,0,0,
esniper,1,1,0,0,
esorex,1,1,0,0,
ab,1,1,0,1,
etckeeper,1,3,2,0,
eterm,1,1,0,0,
etherape,1,1,0,0,
ethstatus,1,1,0,0,
etoys,1,2,1,0,
ettercap,1,1,0,0,
euca2ools,1,1,0,0,
eureka,1,1,0,0,
eurephia,1,5,4,0,
evemu,1,2,1,0,
eventlog,1,3,2,0,
evince,1,7,6,0,
dvi,1,1,0,1,
evo,1,2,2,0,
rspam,1,1,0,1,
evtest,1,1,0,0,
ewftools,1,1,0,0,
exabgp,1,3,0,2,
exaile,1,1,0,0,
examiner,1,1,0,0,
exchange,1,1,1,0,
exciting,1,5,4,0,
execdb,1,1,0,0,
execstack,1,1,0,0,
exempi,1,2,1,0,
exo,1,2,1,0,
exodusii,1,3,2,0,
exonerate,1,1,0,0,
expatpp,1,2,1,0,
expectk,1,1,0,0,
expendable,1,1,0,0,
explain,1,1,0,0,
expresso,1,1,0,0,
extra166y,1,2,1,0,
extrema,1,3,2,0,
extremetuxracer,1,3,2,0,
papercuts,1,1,0,0,
extundelete,1,1,0,0,
eyesight,1,1,0,0,
ipupdate,1,1,0,1,
pine,1,1,0,0,
ezmorph,1,2,1,0,
ezstream,1,1,0,0,
f21,1,11,11,0,
f22,1,11,11,0,
f23,1,11,11,0,
f24,1,11,11,0,
f25,1,11,11,0,
f26,1,12,12,0,
f2fs,1,2,2,0,
fabtests,1,1,0,0,
facter,1,1,0,0,
gftables,1,1,0,1,
faience,1,1,1,0,
fakechroot,1,2,1,0,
fakeroot,1,2,1,0,
fantasdic,1,1,0,0,
fapg,1,1,0,0,
farstream02,1,2,1,0,
fasd,1,1,0,0,
fastback,1,1,0,0,
fastd,1,1,0,0,
fasterxml,1,1,1,0,
fastlz,1,2,1,0,
fastutil,1,2,1,0,
fastx_toolkit,1,2,1,0,
galaxy,1,1,0,1,
fatrace,1,1,0,0,
fatresize,1,1,0,0,
fatsort,1,1,0,0,
faust,1,6,5,0,
osclib,1,2,0,1,
fawkes,1,73,72,0,project name
devenv,1,1,0,1,
firevision,1,2,0,1,
guis,1,1,0,1,
amcl,1,1,0,1,
bblogger,1,1,0,1,
bbsync,1,1,0,1,
navgraph,1,5,0,2,
colli,1,1,0,1,
dynamixel,1,1,0,1,
gazsim,1,8,0,0,
comm,1,1,0,1,
depthcam,1,1,0,1,
laser,1,6,0,2,
localization,1,2,0,2,
robotino,1,3,0,2,
timesource,1,1,0,1,
vis,1,1,0,0,
imu,1,1,0,1,
jaco,1,1,0,1,
teleop,1,1,0,1,
katana,1,1,0,1,
lines,1,1,0,1,
pointclouds,1,1,0,1,
luaagent,1,1,0,1,
lasergen,1,1,0,1,
clusters,1,1,0,1,
handtracker,1,1,0,1,
frombuf,1,1,0,1,
usertracker,1,1,0,1,
pantilt,1,1,0,1,
refboxcomm,1,1,0,1,
roomba,1,1,0,1,
rrdweb,1,1,0,1,
skiller,1,1,0,1,
transforms,1,1,0,1,
tabletop,1,1,0,0,
objects,1,1,0,1,
ttmainloop,1,1,0,1,
fbdesk,1,1,0,0,
fbg2,1,1,0,0,
fbpanel,1,1,0,0,
fbreader,1,3,2,0,
fbset,1,1,0,0,
fbzx,1,1,0,0,
cloudpinyin,1,1,0,1,
configtool,1,1,0,1,
qw,1,1,0,1,
other,1,1,0,1,
fcl,1,2,1,0,
fcode,1,1,1,0,
fdupes,1,1,0,0,
fedocal,1,1,0,0,
business,1,1,0,0,
cards,1,1,0,1,
dockerfiles,1,1,0,1,
easyfix,1,1,0,1,
gooey,1,1,0,0,
motd,1,1,0,1,
packager,1,1,0,1,
remix,1,1,0,0,
repositories,1,1,0,1,
fedorawaves,1,1,1,0,
fedrepos,1,1,0,0,
fedwatch,1,2,0,1,
feedreader,1,1,0,0,
feedstail,1,1,0,0,
feh,1,1,0,0,
bundlerepository,1,2,0,1,
configadmin,1,2,0,1,
fileinstall,1,2,0,1,
virtd,1,6,0,1,
cpg,1,1,0,1,
ferm,1,1,0,0,
fes,1,2,1,0,
freebsoft,1,1,0,0,
speechtools,1,3,0,0,
festvox,1,8,8,0,
awb,1,1,0,0,
arctic,1,6,0,0,
hts,1,6,0,6,
bdl,1,1,0,0,
clb,1,1,0,0,
jmk,1,1,0,0,
kal,1,1,0,0,
diphone,1,4,0,4,
ked,1,1,0,0,
rms,1,1,0,0,
slt,1,1,0,0,
fetch,1,1,1,0,
crl,1,1,0,1,
fetchlog,1,1,0,0,
fetchmail,1,1,0,0,
fex,1,1,0,0,
ffcall,1,1,0,0,
ffgtk,1,3,2,0,
addressbook,1,1,0,1,
fflas,1,2,2,0,
ffpack,1,2,0,0,
ffsb,1,1,0,0,
long,1,3,0,3,
quad,1,1,0,1,
fftw2,1,3,2,0,
fgrun,1,1,0,0,
pi,1,1,0,1,
fifechan,1,10,9,0,
fig2ps,1,1,0,0,
figlet,1,1,0,0,
figtoipe,1,1,0,0,
filebench,1,1,0,0,
filedrop,1,1,0,0,
finch,1,2,1,0,
findthatword,1,1,0,0,
finger,1,2,1,0,
fio,1,1,0,0,
fipscheck,1,3,2,0,
firewalk,1,1,0,0,
dell,1,1,0,1,
fishpoke,1,1,0,0,
fishpoll,1,1,0,0,
fishpolld,1,1,0,0,
fityk,1,2,1,0,
five,1,1,1,0,
flac123,1,1,0,0,
flam3,1,2,1,0,
flamerobin,1,1,0,0,
flamp,1,1,0,0,
flann,1,5,2,2,
flannel,1,3,2,0,
flashrom,1,1,0,0,
flatcam,1,1,0,0,
flatpack,1,4,3,0,
flaw,1,1,0,0,
flexdock,1,1,0,0,
flexiport,1,2,1,0,
flickcurl,1,2,1,0,
flim,1,2,1,0,
flint,1,3,2,0,
flobopuyo,1,1,0,0,
flocq,1,2,1,0,
florence,1,2,1,0,
florist,1,2,1,0,
flowcanvas,1,2,1,0,
flpsed,1,1,0,0,
flr,1,1,0,0,
flterm,1,1,0,0,
gm,1,1,0,1,
patches,1,1,0,1,
flumotion,1,1,0,0,
flute,1,2,1,0,
fluxbox,1,3,2,0,
flxmlrpc,1,2,1,0,
flyingsaucer,1,3,2,0,
flyingsaucersattack,1,1,0,0,
fmpp,1,2,1,0,
ptrn,1,2,0,1,
fmtools,1,2,1,0,
tkradio,1,1,0,1,
fntsample,1,1,0,0,
focuswriter,1,1,0,0,
foghorn,1,1,0,0,
folks,1,3,2,0,
font-manager,1,3,0,2,file-purpose
fontaine,1,1,0,0,
fontbox,1,1,0,0,
fontdump,1,3,0,2,
fontforge,1,3,2,0,
fontmatrix,1,1,0,0,
fontopia,1,1,0,0,
fontpackages,1,3,3,0,
KOI8-R,1,3,0,1,translation
fontsquirrel,1,1,1,0,
crete,1,1,0,0,
fonttools,1,3,0,2,
foobillard,1,1,0,0,
ppds,1,1,0,1,
forbidden,1,2,2,0,
foremost,1,1,0,0,
forge,1,1,1,0,
firefly,1,1,0,1,
fossil,1,2,1,0,
fotowall,1,1,0,0,
four,1,1,1,0,
row,1,1,0,1,
foxtrotgps,1,1,0,0,
fpack,1,1,0,0,
fparser,1,2,1,0,
fpaste,1,1,0,0,
fpdns,1,1,0,0,
fped,1,1,0,0,
fpm2,1,1,0,0,
fprobe,1,1,1,0,
ulog,1,1,0,1,
frama,1,4,4,0,
free42,1,1,0,0,
freeDiameter,1,2,1,0,
freealut,1,2,1,0,
freecad,1,2,1,0,
freecol,1,4,3,0,
imperator,1,1,0,0,
shadowedblack,1,1,0,0,
freecolor,1,1,0,0,
freediams,1,3,2,0,
dfarc,1,1,0,1,
freedm,1,1,0,1,
freedoom2,1,1,0,0,
freedroid,1,2,1,0,
freedroidrpg,1,2,1,0,
freedv,1,1,0,0,
freefem++,1,3,2,0,
freehdl,1,1,0,0,
freehoo,1,1,0,0,
freeipmi,1,5,4,0,
ipmidetectd,1,1,0,1,
ipmiseld,1,1,0,1,
freemarker,1,2,1,0,
freemedforms,1,8,7,0,
freemind,1,8,7,0,
collaboration,1,1,0,0,
freenx,1,1,1,0,
freeorion,1,2,1,0,
freerdp1.2,1,2,1,0,
freerouting,1,1,0,0,
freetds,1,4,3,0,
freetennis,1,1,0,0,
freetiger,1,2,1,0,
freewrl,1,3,2,0,
freeze,1,1,0,0,
frei0r,1,3,3,0,
frepple,1,3,2,0,
freqtweak,1,1,0,0,
frescobaldi,1,1,0,0,
fribidi,1,2,1,0,
fritzing,1,1,0,0,
frobby,1,1,0,0,
frogr,1,1,0,0,
fros,1,3,2,0,
frotz,1,1,0,0,
bubble,1,2,0,1,
frysk,1,1,0,0,
fs_mark,1,1,0,0,
fslint,1,1,0,0,
fsniper,1,1,0,0,
fspy,1,1,0,0,
fst,1,2,1,0,
fstransform,1,1,0,0,
fstrcmp,1,2,1,0,
fstrm,1,3,2,0,
fswebcam,1,1,0,0,
ftgl,1,3,2,0,
ftnchek,1,1,0,0,
ftop,1,1,0,0,
fuelmanager,1,1,0,0,
funguloids,1,1,0,0,
funionfs,1,1,0,0,
convmvfs,1,1,0,1,
s3fs,1,1,0,1,
fuse3,1,3,2,0,
fuse9p,1,1,0,0,
fusesource,1,1,1,0,
fusionforge,1,38,37,0,project name
mta,1,2,0,0,
exim4,1,1,0,1,
aselectextauth,1,1,0,1,
authcas,1,1,0,1,
authhttpd,1,1,0,1,
blocks,1,1,0,1,
compactpreview,1,1,0,1,
contribtracker,1,1,0,1,
externalsearch,1,1,0,1,
globalsearch,1,1,0,1,
gravatar,1,1,0,1,
headermenu,1,1,0,1,
moinmoin,1,1,0,1,
online_help,1,1,0,1,
projectlabels,1,1,0,1,
scmbzr,1,1,0,1,
scmdarcs,1,1,0,1,
scmgit,1,1,0,1,
scmhg,1,1,0,1,
scmhook,1,1,0,1,
scmsvn,1,1,0,1,
sysauthldap,1,1,0,1,
taskboard,1,1,0,1,
webanalytics,1,1,0,1,
vhosts,1,1,0,1,
fusioninventory,1,7,7,0,
esx,1,1,0,1,
fvsp,1,2,1,0,
fvwm,1,1,0,0,
fwbackups,1,1,0,0,
fwfstab,1,1,0,0,
fwrestart,1,1,0,0,
fwsnort,1,1,0,0,
fxload,1,1,0,0,
g2clib,1,1,1,0,
gabedit,1,1,0,0,
gadget,1,1,0,0,
galculator,1,1,0,0,
gallery2,1,76,75,0,project name
ajaxian,1,1,0,1,
albumselect,1,1,0,1,
archiveupload,1,1,0,1,
cart,1,1,0,1,
colorpack,1,1,0,1,
customfield,1,1,0,1,
digibug,1,1,0,1,
dynamicalbum,1,1,0,1,
ecard,1,1,0,1,
ffmpeg,1,1,0,1,
flashvideo,1,1,0,1,
floatrix,1,1,0,1,
fotokasten,1,1,0,1,
hidden,1,1,0,1,
imageblock,1,1,0,1,
imageframe,1,1,0,1,
itemadd,1,1,0,1,
jpegtran,1,1,0,1,
keyalbum,1,1,0,1,
linkitem,1,1,0,1,
members,1,1,0,1,
mp3audio,1,1,0,1,
multilang,1,1,0,1,
multiroot,1,1,0,1,
newitems,1,1,0,1,
nokiaupload,1,1,0,1,
permalinks,1,1,0,1,
photoaccess,1,1,0,1,
picasa,1,1,0,1,
publishxp,1,1,0,1,
quotas,1,1,0,1,
randomhighlight,1,1,0,1,
rating,1,1,0,1,
rearrange,1,1,0,1,
reupload,1,1,0,1,
shutterfly,1,1,0,1,
siriux,1,1,0,1,
sitemap,1,1,0,1,
sizelimit,1,1,0,1,
slider,1,1,0,1,
snapgalaxy,1,1,0,1,
squarethumb,1,1,0,1,
thumbnail,1,1,0,1,
thumbpage,1,1,0,1,
useralbum,1,1,0,1,
watermark,1,1,0,1,
zipcart,1,1,0,1,
galternatives,1,1,0,0,
gamazons,1,1,0,0,
gambas3,1,92,92,0,programming language
gb,1,88,0,0,translation
eval,1,1,0,0,
effect,1,1,0,1,
pop3,1,1,0,1,
option,1,1,0,1,
report2,1,1,0,1,
sdl2,1,2,0,1,
vb,1,1,0,1,
scripter,1,1,0,1,
gambit,1,2,2,0,
gamin,1,3,2,0,
gmetad,1,1,0,1,
aclib,1,1,0,1,
atlasrep,1,1,0,1,
autodoc,1,1,0,1,
autpgrp,1,1,0,1,
crisp,1,1,0,1,
crystcat,1,1,0,1,
ctbllib,1,1,0,1,
edim,1,1,0,1,
fga,1,1,0,1,
gbnp,1,2,0,1,
gpd,1,1,0,1,
hapcryst,1,1,0,1,
irredsol,1,1,0,1,
nq,1,1,0,1,
openmath,1,1,0,1,
polycyclic,1,1,0,1,
polymaking,1,1,0,1,
radiroot,1,1,0,1,
scscp,1,1,0,1,
smallsemi,1,1,0,1,
sonata,1,1,0,1,
spinsym,1,1,0,1,
tomlib,1,1,0,1,
gappa,1,1,0,0,
gappalib,1,2,2,0,
garcon,1,2,1,0,
garden,1,1,0,0,
gargi,1,1,1,0,
garmin,1,1,1,0,
garmindev,1,1,0,0,
garmintools,1,2,1,0,
gasnet,1,6,5,0,
gaupol,1,1,0,0,
gausssum,1,1,0,0,
gavl,1,2,1,0,
gawkextlib,1,2,1,0,
gball,1,1,0,0,
gbdfed,1,1,0,0,
gcal,1,1,0,0,
gcolor2,1,1,0,0,
gcompris,1,42,41,0,project name
administration,1,1,0,1,
gconfmm26,1,2,1,0,
gcovr,1,1,0,0,
gcr,1,2,1,0,
gcstar,1,1,0,0,
gcx,1,1,0,0,
gdalcpp,1,1,1,0,
exploitable,1,1,0,1,
gdcm,1,7,5,1,
gdigi,1,1,0,0,
gdisk,1,1,0,0,
pixbuf2,1,6,0,1,
gdl,1,3,2,0,
gdlmm,1,3,2,0,
aegyptus,1,1,0,0,
akkadian,1,1,0,0,
analecta,1,1,0,0,
musica,1,1,0,0,
gds2pov,1,2,1,0,
geanylatex,1,1,0,1,
gearmand,1,1,0,0,
gears,1,1,1,0,
geda,1,8,8,0,
gaf,1,1,0,1,
gattrib,1,1,0,1,
gnetlist,1,1,0,1,
gschem,1,1,0,1,
gsymcheck,1,1,0,1,
cossa,1,1,0,1,
bracketcompletion,1,1,0,1,
charmap,1,1,0,1,
codecomment,1,1,0,1,
colorschemer,1,1,0,1,
drawspaces,1,1,0,1,
joinlines,1,1,0,1,
multiedit,1,1,0,1,
smartspaces,1,1,0,1,
textsize,1,1,0,1,
wordcompletion,1,1,0,1,
geeqie,1,1,0,0,
gegl,1,3,2,0,
workshop,1,1,0,1,
gela,1,2,2,0,
asis,1,2,0,1,
gemdropx,1,1,0,0,
gemini,1,2,2,0,
oath,1,1,0,0,
genbackupdata,1,1,0,0,
genchemlab,1,1,0,0,
generatorrunner,1,2,1,0,
gengetopt,1,1,0,0,
genisoimage,1,1,0,0,
genius,1,3,1,1,
genromfs,1,1,0,0,
gentlyweb,1,2,2,0,
gentoo,1,1,0,0,
genus2reduction,1,1,0,0,
genwqe,1,5,5,0,
vpd,1,1,0,1,
geoclue2,1,4,3,0,
geocode,1,2,2,0,
geoipupdate,1,3,2,0,
cron6,1,1,0,1,
geolatte,1,2,2,0,
geome,1,2,0,1,
hpp,1,1,0,0,
geomorph,1,1,0,0,
geomview,1,3,2,0,
gerbv,1,2,1,0,
commonj,1,2,0,1,
jaspic,1,2,0,0,
jta,1,2,0,1,
txmanager,1,2,0,1,
gerrymander,1,3,0,2,
geteltorito,1,1,0,0,
gf2x,1,2,1,0,
gfalFS,1,1,0,0,
gfan,1,2,1,0,
gfanlib,1,2,1,0,
gfbgraph,1,2,1,0,
ambrosia,1,1,0,0,
artemisia,1,1,0,0,
baskerville,1,1,0,0,
complutum,1,1,0,0,
decker,1,1,0,0,
eustace,1,1,0,0,
fleischman,1,1,0,0,
garaldus,1,1,0,0,
gazis,1,1,0,0,
goschen,1,1,0,0,
ignacio,1,1,0,0,
neohellenic,1,1,0,0,
nicefore,1,1,0,0,
olga,1,1,0,0,
philostratos,1,1,0,0,
porson,1,1,0,0,
pyrsos,1,1,0,0,
solomos,1,1,0,0,
theokritos,1,1,0,0,
gftp,1,1,0,0,
ggobi,1,2,1,0,
ghasher,1,1,0,0,
Boolean,1,2,0,1,
ConfigFile,1,2,0,1,
Decimal,1,2,0,1,
GLURaw,1,2,0,1,
GLUT,1,2,0,1,
HSH,1,2,0,1,
HUnit,1,2,0,1,
IOSpec,1,2,0,1,
IfElse,1,2,0,1,
JuicyPixels,1,2,0,1,
MemoTrie,1,2,0,1,
MissingH,1,2,0,1,
MonadRandom,1,2,0,1,
NumInstances,1,2,0,1,
ObjectName,1,2,0,1,
OpenGLRaw,1,2,0,1,
QuickCheck,1,2,0,1,
STMonadTrans,1,2,0,1,
SafeSemaphore,1,2,0,1,
StateVar,1,2,0,1,
appar,1,2,0,1,
base16,1,2,0,0,
bencode,1,2,0,1,
textual,1,2,0,1,
bloomfilter,1,2,0,1,
byteable,1,2,0,1,
nums,1,2,0,1,
insensitive,1,2,0,1,
cautious,1,2,0,0,
chalmers,1,2,0,0,
lava2000,1,2,0,1,
cmdargs,1,2,0,1,
comonad,1,2,0,1,
concatenative,1,2,0,1,
contravariant,1,2,0,1,
sha1,1,2,0,1,
accessor,1,2,0,1,
inttrie,1,2,0,1,
memocombinators,1,2,0,1,
dataenc,1,2,0,1,
derive,1,2,0,1,
distributive,1,2,0,1,
dotgen,1,2,0,1,
enclosed,1,2,0,0,
entropy,1,2,0,1,
equivalence,1,2,0,1,
extensible,1,2,0,0,
fail,1,2,0,1,
failure,1,2,0,1,
fdo,1,2,0,0,
filemanip,1,2,0,1,
paths,1,2,0,1,
gtk2hs,1,3,1,0,
haddock,1,2,0,0,
half,1,2,0,1,
happstack,1,2,0,0,
hashable,1,2,0,1,
hashtables,1,2,0,1,
hgettext,1,2,0,1,
hinotify,1,2,0,1,
hint,1,2,0,1,
hjsmin,1,2,0,1,
hlint,1,3,0,1,
hourglass,1,3,0,1,
hs,1,2,0,0,
hscolour,1,3,0,1,
hslogger,1,2,0,1,
hslua,1,2,0,1,
charproperties,1,2,0,1,
indents,1,2,0,1,
integer,1,2,0,0,
logarithms,1,2,0,1,
ecmascript,1,2,0,1,
lazysmallcheck,1,2,0,1,
logict,1,2,0,1,
lrucache,1,2,0,1,
ltk,1,2,0,1,
maccatcher,1,2,0,1,
megaparsec,1,2,0,1,
mmorph,1,2,0,1,
monads,1,2,0,0,
mountpoints,1,2,0,1,
mtlparse,1,2,0,1,
mwc,1,2,0,0,
newtype,1,2,0,0,
oeis,1,2,0,1,
optparse,1,2,0,0,
pieces,1,2,0,1,
pattern,1,2,0,0,
pcap,1,2,0,1,
polyparse,1,2,0,1,
psqueues,1,2,0,1,
publicsuffixlist,1,2,0,1,
pureMD5,1,2,0,1,
refact,1,2,0,1,
regexpr,1,2,0,1,
resourcet,1,2,0,1,
rfc5051,1,2,0,1,
rosezipper,1,2,0,1,
sandi,1,2,0,1,
scotty,1,2,0,1,
setenv,1,2,0,1,
setlocale,1,2,0,1,
shake,1,3,0,1,
shakespeare,1,2,0,1,
shelly,1,2,0,1,
silently,1,2,0,1,
skein,1,2,0,1,
smallcheck,1,2,0,1,
chans,1,2,0,1,
strict,1,2,0,1,
stringsearch,1,2,0,1,
syb,1,2,0,1,
fileio,1,2,0,1,
tabular,1,2,0,1,
tagged,1,2,0,1,
tagshare,1,2,0,1,
feat,1,2,0,1,
texmath,1,2,0,1,
abstraction,1,2,0,1,
uglymemo,1,2,0,1,
uniplate,1,2,0,1,
unlambda,1,3,0,1,
unordered,1,2,0,0,
warp,1,2,0,1,
wizards,1,2,0,1,
word8,1,2,0,1,
hamlet,1,2,0,1,
ghdl,1,6,5,0,
grt,1,3,0,3,
mcode,1,2,0,1,
ghemical,1,1,0,0,
gherkin2,1,2,2,0,
ghex,1,3,2,0,
giada,1,1,0,0,
giblib,1,2,1,0,
gif2png,1,1,0,0,
gifsicle,1,1,0,0,
gifticlib,1,2,1,0,
gifview,1,1,0,0,
gigolo,1,1,0,0,
giis,1,1,0,0,
gilmsg,1,1,0,0,
gimagereader,1,3,3,0,
gimmix,1,1,0,0,
dbp,1,1,0,1,
dds,1,1,0,0,
elsamuko,1,1,0,1,
focusblur,1,1,0,0,
layer,1,1,0,0,
cut,1,1,0,1,
lqr,1,1,0,0,
luminosity,1,1,0,0,
masks,1,1,0,1,
normalmap,1,1,0,1,
studio,1,1,0,1,
resynthesizer,1,1,0,1,
save,1,1,0,0,
separate+,1,1,0,1,
decompose,1,1,0,1,
denoise,1,1,0,0,
gimpfx,1,1,1,0,
foundry,1,1,0,1,
ginfo,1,1,0,0,
ginga,1,5,0,2,
gipfel,1,1,0,0,
girara,1,2,1,0,
gists,1,1,0,0,
bz,1,1,0,1,
cal,1,1,0,1,
cola,1,1,0,1,
cpan,1,1,0,0,
evtag,1,1,0,1,
octopus,1,1,0,1,
xcleaner,1,1,0,1,
